"Business Category","Sub Category","Company Name","Address","Contact Number 1","Contact Number 2","Area","City","Pincode","Year Establish","Source Link"
"","Foreign Exchange Agents						","Thomas Cook India Ltd","1st Floor Anubhav Villa, Road No 2, Banjara Hills, Hyderabad - 500034, Opp Lumbini Jewel Mall","+(91)-40-33068151","","Banjara Hills","Hyderabad","500034","1929","Monday -Sunday ","http://www.justdial.com/Hyderabad/Thomas-Cook-India-Ltd-\&lt\;near\&gt\;-Opp-Lumbini-Jewel-Mall-Banjara-Hills/040PXX40-XX40-090730155515-A9P2_BZDET?xid=SHlkZXJhYmFkIEZvcmVpZ24gRXhjaGFuZ2UgQWdlbnRz"
"24 Hours Foreign E						","Foreign Exchange Agents						,","Rahul","8-2-613/98/1, Gouri Shankar Colony, Road No 11, Banjara Hills, Hyderabad - 500034","+(91)-40-39616037","","Banjara Hills","Hyderabad","500034","2007","Monday -Sunday ","http://www.justdial.com/Hyderabad/Rahul-\&lt\;near\&gt\;-Banjara-Hills/040PXX40-XX40-120625181634-L5W2_BZDET?xid=SHlkZXJhYmFkIEZvcmVpZ24gRXhjaGFuZ2UgQWdlbnRz"
"","Foreign Exchange Agents						","Jain Forex Pvt Ltd","House No. 6-3-1090/b/3,Ground Floor, Munawar Chambers, Raj Bhavan Road, Somajiguda, Hyderabad - 5000...","+(91)-40-33700496","","Somajiguda","Hyderabad","500082","2005","Monday -Sunday ","http://www.justdial.com/Hyderabad/Jain-Forex-Pvt-Ltd-\&lt\;near\&gt\;-Opp-Reliance-Foot-Prints-Somajiguda/040PXX40-XX40-150227151048-E3G4_BZDET?xid=SHlkZXJhYmFkIEZvcmVpZ24gRXhjaGFuZ2UgQWdlbnRz"
"Money Transfer Age						","Foreign Exchange Agents						,","Gopi Forex Services","Plot No 12 & 12 A, Ayyapa Society,G B Pet, Madhapur, Hyderabad - 500081, Opposite Kassani Hotel","+(91)-40-33061815","","Madhapur","Hyderabad","500081","2012","Monday -Sunday ","http://www.justdial.com/Hyderabad/Gopi-Forex-Services-\&lt\;near\&gt\;-Opposite-Kassani-Hotel-Madhapur/040P5502984_BZDET?xid=SHlkZXJhYmFkIEZvcmVpZ24gRXhjaGFuZ2UgQWdlbnRz"
"Foreign Exchange C						","Foreign Exchange Agents						,","Eastern Forex Private Limited","House No 1-8-702/33/1/A Shop No 25, Sai Ram Complex Padma Colony, Nallakunta, Hyderabad - 500044, Op...","+(91)-40-33923815","","Nallakunta","Hyderabad","500044","2015","Monday -Sunday ","http://www.justdial.com/Hyderabad/Eastern-Forex-Private-Limited-\&lt\;near\&gt\;-Opposite-S-L-Diognistic-Nallakunta/040PXX40-XX40-150319144735-P6H6_BZDET?xid=SHlkZXJhYmFkIEZvcmVpZ24gRXhjaGFuZ2UgQWdlbnRz"
"","Gynaecologist & Obstetrician Doctors						","Dr Vimee Bindra","Room No-31, Apollo Hospital, Film Nagar, Hyderabad - 500034, Jubilee Hills","+(91)-40-33082181","","'dtpg');
											openDiv('hui')","","500034","1999","Monday -Sunday ","http://www.justdial.com/Hyderabad/Dr-Vimee-Bindra-\&lt\;near\&gt\;-Jubilee-Hills-Film-Nagar/040PXX40-XX40-101231175049-N3D8_BZDET?xid=SHlkZXJhYmFkIEd5bmFlY29sb2dpc3QgT2JzdGV0cmljaWFuIERvY3RvcnM="
"Infer						","Gynaecologist & Obstetrician Doctors						,","MHRT Hospital & Research Centre","House No 8-2-120/86/1/A, Road No 3, Banjara Hills, Hyderabad - 500034","+(91)-40-33089533","","Banjara Hills","Hyderabad","500034","1990","Monday -Sunday ","http://www.justdial.com/Hyderabad/MHRT-Hospital---Research-Centre-\&lt\;near\&gt\;-Banjara-Hills/040PXX40-XX40-120316181552-Y7G2_BZDET?xid=SHlkZXJhYmFkIEd5bmFlY29sb2dpc3QgT2JzdGV0cmljaWFuIERvY3RvcnM="
"Gynaecologist & Obstet						","Maternity Hospitals						,","Kiran Hospital","Door No 8-8-112/1, Sree Ram Nagar Colony, Karmanghat, Hyderabad - 500079, Opposite Megha Functional ...","+(91)-40-33080893","","Karmanghat","Hyderabad","500079","2002","Monday -Sunday ","http://www.justdial.com/Hyderabad/Kiran-Hospital-\&lt\;near\&gt\;-Opposite-Megha-Functional-Hall-Karmanghat/040PXX40-XX40-100921143001-P2U4_BZDET?xid=SHlkZXJhYmFkIEd5bmFlY29sb2dpc3QgT2JzdGV0cmljaWFuIERvY3RvcnM="
"Hospi						","Gynaecologist & Obstetrician Doctors						,","Teegala Anitha Reddy","House No 16-11-741/C/15, Shalivahana Nagar, Dilsukhnagar, Hyderabad - 500060, Behind TMC, Adjacent R...","+(91)-40-33083730","","Dilsukhnagar","Hyderabad","500060","2000","Monday -Sunday ","http://www.justdial.com/Hyderabad/Teegala-Anitha-Reddy-\&lt\;near\&gt\;-Behind-TMC--Adjacent--Reliance-Fresh-Dilsukhnagar/040PXX40-XX40-110415132328-V5Y1_BZDET?xid=SHlkZXJhYmFkIEd5bmFlY29sb2dpc3QgT2JzdGV0cmljaWFuIERvY3RvcnM="
"Diagnostic Centres						","Multispeciality Hospitals						,","Citizens Hospital","House No 1-100/1/Cch, Nallagandla Village, Serilingampally, Hyderabad - 500019, Before Aparna Sarovar","+(91)-40-33089756","","Serilingampally","Hyderabad","500019","2012","Monday -Sunday ","http://www.justdial.com/Hyderabad/Citizens-Hospital-\&lt\;near\&gt\;-Before-Aparna-Sarovar-Serilingampally/040PXX40-XX40-120330112003-A8G6_BZDET?xid=SHlkZXJhYmFkIEd5bmFlY29sb2dpc3QgT2JzdGV0cmljaWFuIERvY3RvcnM="
"Hospi						","Gynaecologist & Obstetrician Doctors						,","Srikara Hospitals","Plot No 222, Phase 2, Mythri Nagar Madinaguda, Miyapur, Hyderabad - 500049, Near Mythri Nagar Kaman","+(91)-40-33035336","","Miyapur","Hyderabad","500049","2013","Monday -Sunday ","http://www.justdial.com/Hyderabad/Srikara-Hospitals-\&lt\;near\&gt\;-Near-Mythri-Nagar-Kaman-Miyapur/040PXX40-XX40-150410134524-E2T7_BZDET?xid=SHlkZXJhYmFkIEd5bmFlY29sb2dpc3QgT2JzdGV0cmljaWFuIERvY3RvcnM="
"Dermatologists						","General Surgeon Doctors						,","Beams Hospitals","Plot No 99, Jubilee Hills, Hyderabad - 500033, Adjacent To Chiranjeevi Blood Bank","+(91)-40-33089738","","Jubilee Hills","Hyderabad","500033","2010","Monday -Sunday ","http://www.justdial.com/Hyderabad/Beams-Hospitals-\&lt\;near\&gt\;-Adjacent-To-Chiranjeevi-Blood-Bank-Jubilee-Hills/040PXX40-XX40-120329155719-Q6Q8_BZDET?xid=SHlkZXJhYmFkIEd5bmFlY29sb2dpc3QgT2JzdGV0cmljaWFuIERvY3RvcnM="
"Paedi						","Gynaecologist & Obstetrician Doctors						,","Motherhood Hospitals","House No 8-2-686/B/1/A, Road No 12, Banjara Hills, Hyderabad - 500034, Near Heritage Fresh","+(91)-40-39515493","","Banjara Hills","Hyderabad","500034","2008","Monday -Sunday ","http://www.justdial.com/Hyderabad/Motherhood-Hospitals-\&lt\;near\&gt\;-Near-Heritage-Fresh-Banjara-Hills/040PXX40-XX40-140212165931-H1V6_BZDET?xid=SHlkZXJhYmFkIEd5bmFlY29sb2dpc3QgT2JzdGV0cmljaWFuIERvY3RvcnM="
"Diagnostic Centres						","Multispeciality Hospitals						,","Aditya Hospitals","Survey No 93/2&125, Shanthi Nagar, Uppal, Hyderabad - 500039, Opposite Bharath Petrol Pump","+(91)-40-33015610","","Uppal","Hyderabad","500039","1987","Monday -Sunday ","http://www.justdial.com/Hyderabad/Aditya-Hospitals-\&lt\;near\&gt\;-Opposite-Bharath-Petrol-Pump-Uppal/040PXX40-XX40-130422140526-K2E1_BZDET?xid=SHlkZXJhYmFkIEd5bmFlY29sb2dpc3QgT2JzdGV0cmljaWFuIERvY3RvcnM="
"Gynaecologist & Obstetrician 						","Neurologists						,","Maxcure Hospitals","Plot No 4 to 11,Survey No 78, Patrika Nagar, Madhapur, Hyderabad - 500081, Behind Cyber Towers,Lane ...","+(91)-40-33926501","","Madhapur","Hyderabad","500081","2014","Monday -Sunday ","http://www.justdial.com/Hyderabad/Maxcure-Hospitals-\&lt\;near\&gt\;-Behind-Cyber-Towers-Lane-Next-To-McDonalds-Restarant-Madhapur/040PXX40-XX40-150608162754-Q6B1_BZDET?xid=SHlkZXJhYmFkIEd5bmFlY29sb2dpc3QgT2JzdGV0cmljaWFuIERvY3RvcnM="
"Home Delivery Restaurants						","Restaurants						,","Rayalaseema Ruchulu","Plot No: 22, Suntowers, 4th Floor, Hitech City, Hyderabad - 500081, Next To Rantandeep Super Market,...","+(91)-40-39513627","","Hitech City","Hyderabad","500081","2002","Monday -Sunday ","http://www.justdial.com/Hyderabad/Rayalaseema-Ruchulu-\&lt\;near\&gt\;-Next-To-Rantandeep-Super-Market--Above-Axis-Bank-Hitech-City/040PXX40-XX40-131214130200-G8N9_BZDET?xid=SHlkZXJhYmFkIEhvbWUgRGVsaXZlcnkgUmVzdGF1cmFudHM="
"Home Delivery Restaurants						","Restaurants						,","Yuktha Restaurant","Flat No 8-2-293/82/A/797/3f,Arka Prime 3rd Floor, Road No 36, Jubilee Hills, Hyderabad - 500033, Abo...","+(91)-40-39617784","","Jubilee Hills","Hyderabad","500033","2014","Monday -Sunday ","http://www.justdial.com/Hyderabad/Yuktha-Restaurant-\&lt\;near\&gt\;-Above-Jack-And-Jones-Jubilee-Hills/040PXX40-XX40-121027080601-C7H1_BZDET?xid=SHlkZXJhYmFkIEhvbWUgRGVsaXZlcnkgUmVzdGF1cmFudHM="
"Home Delivery Restaurants						","Restaurants & Bars						,","Hotel Grand Swagath","House No 3-80,Survey No 26, Indira Nagar,Main Road, Ramanthapur, Hyderabad - 500013, Opposite To Hyd...","+(91)-40-33703954","","Ramanthapur","Hyderabad","500013","2015","Monday -Sunday ","http://www.justdial.com/Hyderabad/Hotel-Grand-Swagath-\&lt\;near\&gt\;-Opposite-To-Hyderbad-Public-School-Above-Spencers-Super-Market-Ramanthapur/040PXX40-XX40-150929151906-E3U8_BZDET?xid=SHlkZXJhYmFkIEhvbWUgRGVsaXZlcnkgUmVzdGF1cmFudHM="
"Restaurants						","Home Delivery Restaurants						,","Amantran The Cuisine","Door No 1-98/15/37, Kamal Plaza, Arunodaya Colony, Madhapur, Hyderabad - 500081, Beside Hitech Theatre","+(91)-40-33061131","","Madhapur","Hyderabad","500081","2006","Monday -Sunday ","http://www.justdial.com/Hyderabad/Amantran-The-Cuisine-\&lt\;near\&gt\;-Beside-Hitech-Theatre-Madhapur/040P2994130_BZDET?xid=SHlkZXJhYmFkIEhvbWUgRGVsaXZlcnkgUmVzdGF1cmFudHM="
"Home Delivery Restaurants						","Restaurants						,","Swagath De Royal","Kondapur, Hyderabad - 500081, Near Kothaguda X Roads","+(91)-40-33060172","","Kondapur","Hyderabad","500081","2008","Monday -Sunday ","http://www.justdial.com/Hyderabad/Swagath-De-Royal-\&lt\;near\&gt\;-Near-Kothaguda-X-Roads-Kondapur/040P1220859240X1S9I6_BZDET?xid=SHlkZXJhYmFkIEhvbWUgRGVsaXZlcnkgUmVzdGF1cmFudHM="
"Restaurants						","Pure Veg Restaurants						,","Swagath Grand","Door No 1-57/90, Madinaguda, Hyderabad - 500049, Near Madinaguda Bus Stop","+(91)-40-39617363","","Madinaguda","Hyderabad","500049","","Monday -Sunday ","http://www.justdial.com/Hyderabad/Swagath-Grand-\&lt\;near\&gt\;-Near-Madinaguda-Bus-Stop-Madinaguda/040PXX40-XX40-120927175323-B9A7_BZDET?xid=SHlkZXJhYmFkIEhvbWUgRGVsaXZlcnkgUmVzdGF1cmFudHM="
"Restaurants						","Multicuisine Restaurants						,","Big Spice Restaurant","House No 1-90/6,1st Floor, Tarnaka Road, Habsiguda, Hyderabad - 500007, Habsiguda X Road","+(91)-40-33062679","","Habsiguda","Hyderabad","500007","2001","Monday -Sunday ","http://www.justdial.com/Hyderabad/Big-Spice-Restaurant-\&lt\;near\&gt\;-Habsiguda-X-Road-Habsiguda/040PF000933_BZDET?xid=SHlkZXJhYmFkIEhvbWUgRGVsaXZlcnkgUmVzdGF1cmFudHM="
"Home Delivery Restaurants						","Restaurants						,","J Grill","Plot No:50, Alkapuri Colony, Nagole, Hyderabad - 500068, Opposite Swagath Grand","+(91)-40-33700404","","Nagole","Hyderabad","500068","1997","Monday -Sunday ","http://www.justdial.com/Hyderabad/J-Grill-\&lt\;near\&gt\;-Opposite-Swagath-Grand-Nagole/040PXX40-XX40-150814134627-P3Y3_BZDET?xid=SHlkZXJhYmFkIEhvbWUgRGVsaXZlcnkgUmVzdGF1cmFudHM="
"Restaurants						","AC Banquet Halls						,","Delicacy Ac Banquet And Conference Hall","Plot No 101, 1st Floor, Jntu To Hi-Tech City Road, Kphb Colony, Hyderabad - 500085, Beside Raitu Baz...","+(91)-40-33019598","","Kphb Colony","Hyderabad","500085","2013","Monday -Sunday ","http://www.justdial.com/Hyderabad/Delicacy-Ac-Banquet-And-Conference-Hall-\&lt\;near\&gt\;-Beside-Raitu-Bazar--Manjeera-Majestics-Commercial-Kphb-Colony/040PXX40-XX40-130903115615-R1P6_BZDET?xid=SHlkZXJhYmFkIEhvbWUgRGVsaXZlcnkgUmVzdGF1cmFudHM="
"Restaurants						","Banquet Halls						,","Serene Banquets","Plot No 60a, 61a, Survey No -136 KRS Complex, AP Housing Board, Gachibowli, Hyderabad - 500032, Near...","+(91)-40-33920486","","Gachibowli","Hyderabad","500032","2014","Monday -Sunday ","http://www.justdial.com/Hyderabad/Serene-Banquets-\&lt\;near\&gt\;-Near-DLF-Building-Gachibowli/040PXX40-XX40-140923120037-A1X3_BZDET?xid=SHlkZXJhYmFkIEhvbWUgRGVsaXZlcnkgUmVzdGF1cmFudHM="
"Mobile Phon						","Mobile Phone Repair & Services						,","R K Mobile Service","Green Lands","+(91)-40-39516672","","Green Lands","Hyderabad","500016","2000","Monday -Sunday ","http://www.justdial.com/Hyderabad/R-K-Mobile-Service-\&lt\;near\&gt\;-Everest-Block-Aditya-Enclave-Green-Lands/040PXX40-XX40-140327182250-C6B7_BZDET?xid=SHlkZXJhYmFkIENhcGRhc2UgRHVhbCBVU0IgQ2FyIENoYXJnZXIgQ2FibGUgZm9yIFNhbXN1bmcgR0FMQVhZIEJFQU0gR1QgSTg1MzAgVEswMCBQRzAx"
"Mobi						","Mobile Phone Repair & Services-Lenovo						,","Sai Smart Mobiles","Kukatpally","+(91)-40-33925190","","Kukatpally","Hyderabad","500072","","Monday -Sunday ","http://www.justdial.com/Hyderabad/Sai-Smart-Mobiles-\&lt\;near\&gt\;-Opposite-Rs-Brothers-Beside-Kalamandir-Kukatpally/040PXX40-XX40-131126003354-M1A7_BZDET?xid=SHlkZXJhYmFkIENhcGRhc2UgRHVhbCBVU0IgQ2FyIENoYXJnZXIgQ2FibGUgZm9yIFNhbXN1bmcgR0FMQVhZIEJFQU0gR1QgSTg1MzAgVEswMCBQRzAx"
"Mobile Phon						","Mobile Phone Accessory Dealers						,","N4u Dial A Mobile","Banjara Hills","+(91)-40-33706689","","Banjara Hills","Hyderabad","500034","","Monday -Sunday ","http://www.justdial.com/Hyderabad/N4u-Dial-A-Mobile-\&lt\;near\&gt\;-Beside-Kotak-Mahindra-Bank--Opposite-Karachi-Bakery-Banjara-Hills/040PXX40-XX40-160111140513-G9L1_BZDET?xid=SHlkZXJhYmFkIENhcGRhc2UgRHVhbCBVU0IgQ2FyIENoYXJnZXIgQ2FibGUgZm9yIFNhbXN1bmcgR0FMQVhZIEJFQU0gR1QgSTg1MzAgVEswMCBQRzAx"
"Mobile Phone Dealers-						","Mobile Phone Dealers						,","Univercell Telecommunications India Pvt Ltd","Dilsukh Nagar","+(91)-9032605472","","Dilsukh Nagar","Hyderabad","500060","2010","Monday -Sunday ","http://www.justdial.com/Hyderabad/Univercell-Telecommunications-India-Pvt-Ltd-\&lt\;near\&gt\;-Opp-Shivalayam-Temple-Dilsukh-Nagar/040P8300105_BZDET?xid=SHlkZXJhYmFkIENhcGRhc2UgRHVhbCBVU0IgQ2FyIENoYXJnZXIgQ2FibGUgZm9yIFNhbXN1bmcgR0FMQVhZIEJFQU0gR1QgSTg1MzAgVEswMCBQRzAx"
"Mobile Phone Dealers-						","Mobile Phone Dealers						,","Sangeetha Mobiles Pvt Ltd","Ramanthapur","+(91)-40-40072673","","Ramanthapur","Hyderabad","500013","2013","Monday -Sunday ","http://www.justdial.com/Hyderabad/Sangeetha-Mobiles-Pvt-Ltd-\&lt\;near\&gt\;-Beside-Vishal-Mega-Mart-Ramanthapur/040PXX40-XX40-130608130717-C8G1_BZDET?xid=SHlkZXJhYmFkIENhcGRhc2UgRHVhbCBVU0IgQ2FyIENoYXJnZXIgQ2FibGUgZm9yIFNhbXN1bmcgR0FMQVhZIEJFQU0gR1QgSTg1MzAgVEswMCBQRzAx"
"Mobile Phone Dealers-						","Mobile Phone Dealers						,","The Mobile Store","Mehdipatnam","+(91)-40-66101683","","Mehdipatnam","Hyderabad","500028","2007","Monday -Sunday ","http://www.justdial.com/Hyderabad/The-Mobile-Store-\&lt\;near\&gt\;-Beside-Mujtaba-Jewellers--Humayun-Nagar-Mehdipatnam/040P8406710_BZDET?xid=SHlkZXJhYmFkIENhcGRhc2UgRHVhbCBVU0IgQ2FyIENoYXJnZXIgQ2FibGUgZm9yIFNhbXN1bmcgR0FMQVhZIEJFQU0gR1QgSTg1MzAgVEswMCBQRzAx"
"Mobile Phone 						","Mobile Phone Dealers-Samsung						,","LOT MOBILES","Hyder Nagar-Kukatpally","+(91)-8297133555","","Hyder Nagar-Kukatpally","Hyderabad","500072","2013","Monday -Sunday ","http://www.justdial.com/Hyderabad/LOT-MOBILES-\&lt\;near\&gt\;-Besides-State-Bank-Of-India-Hyder-Nagar-Kukatpally/040PXX40-XX40-130812165344-Y8U2_BZDET?xid=SHlkZXJhYmFkIENhcGRhc2UgRHVhbCBVU0IgQ2FyIENoYXJnZXIgQ2FibGUgZm9yIFNhbXN1bmcgR0FMQVhZIEJFQU0gR1QgSTg1MzAgVEswMCBQRzAx"
"Mobi						","Mobile Phone Repair & Services-Lenovo						,","Range Mobiles","RTC X Roads","+(91)-40-33921810","","RTC X Roads","Hyderabad","500020","2014","Monday -Sunday ","http://www.justdial.com/Hyderabad/Range-Mobiles-\&lt\;near\&gt\;-Beside-Hanuman-Temple-RTC-X-Roads/040PXX40-XX40-141210172551-K8Z2_BZDET?xid=SHlkZXJhYmFkIENhcGRhc2UgRHVhbCBVU0IgQ2FyIENoYXJnZXIgQ2FibGUgZm9yIFNhbXN1bmcgR0FMQVhZIEJFQU0gR1QgSTg1MzAgVEswMCBQRzAx"
"Mobile Phone 						","Mobile Phone Dealers-Samsung						,","Archana Mobiles","Abids","+(91)-40-65811200","","'dtpg');
											openDiv('hui')","","500001","","Monday -Sunday ","http://www.justdial.com/Hyderabad/Archana-Mobiles-\&lt\;near\&gt\;-Abids/040PXX40-XX40-140214162339-P1E6_BZDET?xid=SHlkZXJhYmFkIENhcGRhc2UgRHVhbCBVU0IgQ2FyIENoYXJnZXIgQ2FibGUgZm9yIFNhbXN1bmcgR0FMQVhZIEJFQU0gR1QgSTg1MzAgVEswMCBQRzAx"
"Mobi						","Mobile Phone Repair & Services-Lenovo						,","S Mobiles","Begumpet","+(91)-40-33704501","","Begumpet","Hyderabad","500016","1990","Monday -Sunday ","http://www.justdial.com/Hyderabad/S-Mobiles-\&lt\;near\&gt\;-Lane-Beside-Kirthilal-Jewellers-Begumpet/040PXX40-XX40-151017182229-L3C7_BZDET?xid=SHlkZXJhYmFkIENhcGRhc2UgRHVhbCBVU0IgQ2FyIENoYXJnZXIgQ2FibGUgZm9yIFNhbXN1bmcgR0FMQVhZIEJFQU0gR1QgSTg1MzAgVEswMCBQRzAx"
"Inverter Dealers-Microtech						","Inverter Dealers						,","National Batteries","Falaknuma","+(91)-40-33704102","","'dtpg');
											openDiv('hui')","","500053","2006","Monday -Sunday ","http://www.justdial.com/Hyderabad/National-Batteries-\&lt\;near\&gt\;-Bus-Stop-Falaknuma/040PXX40-XX40-150703114837-T6A2_BZDET?xid=SHlkZXJhYmFkIEludmVydGVyIERlYWxlcnM="
"Battery Dealers						","Inverter Dealers						,","Aishwarya Power Solutions","Flat No 202, Uppal, Hyderabad - 500039, Kalyanpuri Colony","+(91)-40-33923473","","'dtpg');
											openDiv('hui')","","500039","","Monday -Sunday ","http://www.justdial.com/Hyderabad/Aishwarya-Power-Solutions-\&lt\;near\&gt\;-Kalyanpuri-Colony-Uppal/040PZE03340_BZDET?xid=SHlkZXJhYmFkIEludmVydGVyIERlYWxlcnM="
"Inverter Dealers						","UPS Dealers						,","Tori Tech Resource Pvt Ltd","Secunderabad","+(91)-40-33016654","","Secunderabad","Hyderabad","500003","2005","Monday -Sunday ","http://www.justdial.com/Hyderabad/Tori-Tech-Resource-Pvt-Ltd-\&lt\;near\&gt\;-Near-Shenoy-Nursing-Home-Opposite-Lane-Of-Bank-Of-Mysore-Secunderabad/040PXX40-XX40-130607175803-E8P2_BZDET?xid=SHlkZXJhYmFkIEludmVydGVyIERlYWxlcnM="
"Battery Dealers-Amaron						","Inverter Dealers						,","Power Tech Services","Ecil","+(91)-40-39511898","","Ecil","Hyderabad","500062","2000","Monday -Sunday ","http://www.justdial.com/Hyderabad/Power-Tech-Services-\&lt\;near\&gt\;-Near-Radhika-Cinema-Ecil/040PXX40-XX40-131031101738-I1X2_BZDET?xid=SHlkZXJhYmFkIEludmVydGVyIERlYWxlcnM="
"Inverter Dealers						","Ups Battery Dealers						,","Ecobright Solutions","Jubilee Hills","+(91)-40-33015720","","'dtpg');
											openDiv('hui')","","500033","2012","Monday -Sunday ","http://www.justdial.com/Hyderabad/Ecobright-Solutions-\&lt\;near\&gt\;-Jubilee-Hills/040PXX40-XX40-130426154831-X2C8_BZDET?xid=SHlkZXJhYmFkIEludmVydGVyIERlYWxlcnM="
"Battery Dealers-Exide						","Inverter Dealers						,","V G Batteries","Madhapur","+(91)-40-33084999","","'dtpg');
											openDiv('hui')","","500081","2008","Monday -Sunday ","http://www.justdial.com/Hyderabad/V-G-Batteries-\&lt\;near\&gt\;-Near-Image-Garden-Madhapur/040PXX40-XX40-151216131432-U7H9_BZDET?xid=SHlkZXJhYmFkIEludmVydGVyIERlYWxlcnM="
"Battery Dealers-Amaron						","Battery Dealers-Exide						,","Bharat Power Solutions","Madhapur","+(91)-40-39516943","","'dtpg');
											openDiv('hui')","","500081","2010","Monday -Sunday ","http://www.justdial.com/Hyderabad/Bharat-Power-Solutions-\&lt\;near\&gt\;-Madhapur/040PXX40-XX40-140408153606-F7T5_BZDET?xid=SHlkZXJhYmFkIEludmVydGVyIERlYWxlcnM="
"Battery Dealers-Exide						","Inverter Dealers						,","Essaar Power Centre","East Marredpally","+(91)-40-33014428","","East Marredpally","Hyderabad","500026","2008","Monday -Sunday ","http://www.justdial.com/Hyderabad/Essaar-Power-Centre-\&lt\;near\&gt\;-Opposite-To-State-Bank-Of-Mysore-Lane-East-Marredpally/040PXX40-XX40-130223111844-L8D8_BZDET?xid=SHlkZXJhYmFkIEludmVydGVyIERlYWxlcnM="
"Battery Dealers-Ex						","Inverter Dealers-Su Kam						,","Nasa Power Systems","Ameerpet","+(91)-40-39516248","","'dtpg');
											openDiv('hui')","","500016","2013","Monday -Sunday ","http://www.justdial.com/Hyderabad/Nasa-Power-Systems-\&lt\;near\&gt\;-Ameerpet/040PXX40-XX40-140312154625-S2Y6_BZDET?xid=SHlkZXJhYmFkIEludmVydGVyIERlYWxlcnM="
"Battery Dealers-						","Inverter Dealers-Microtek						,","M K Power Solutions","Toli Chowki","+(91)-40-33017007","","Toli Chowki","Hyderabad","500008","2010","Monday -Sunday ","http://www.justdial.com/Hyderabad/M-K-Power-Solutions-\&lt\;near\&gt\;-Opposite-St-Joseph-College-Toli-Chowki/040PXX40-XX40-130619232521-H1V4_BZDET?xid=SHlkZXJhYmFkIEludmVydGVyIERlYWxlcnM="
"Massage Centres For Men						","Body Massage Centres						,","Sri Am To Pm For Men & Women Salon","House No 8-12-67, Street No 8, Habsiguda, Hyderabad - 500007, Above Eye 2 Eye Opticals, Beside Gayat...","+(91)-40-27171399","","Habsiguda","Hyderabad","500007","2014","Monday -Sunday ","http://www.justdial.com/Hyderabad/Sri-Am-To-Pm-For-Men---Women-Salon-\&lt\;near\&gt\;-Above-Eye-2-Eye-Opticals--Beside-Gayatri-Tiffin-Center-Habsiguda/040PXX40-XX40-140605164525-T5G6_BZDET?xid=SHlkZXJhYmFkIE1hc3NhZ2UgQ2VudHJlcyBGb3IgTWVu"
"Massage Centres For Men						","Body Massage Centres						,","O2 Spa","House Number 8-2-293/82, Plot Number 564/A32/2, Jubilee Hills, Hyderabad - 500033","+(91)-9247020202","","'dtpg');
											openDiv('hui')","","500033","2012","Monday -Sunday ","http://www.justdial.com/Hyderabad/O2-Spa-\&lt\;near\&gt\;-Jubilee-Hills/040PXX40-XX40-131005160558-V6J1_BZDET?xid=SHlkZXJhYmFkIE1hc3NhZ2UgQ2VudHJlcyBGb3IgTWVu"
"Body Massage Cen						","Thai Body Massage Centres						,","Aura Thai Spa","Door No 8-2-681, 2nd Floor, Road No 12, Banjara Hills, Hyderabad - 500034, Beside Ratnadeep Super Ma...","+(91)-40-65500226","","Banjara Hills","Hyderabad","500034","2013","Monday -Sunday ","http://www.justdial.com/Hyderabad/Aura-Thai-Spa-\&lt\;near\&gt\;-Beside-Ratnadeep-Super-Market--Above-Cafe-Coffee-Lounge-Banjara-Hills/040PXX40-XX40-130527121408-V3I8_BZDET?xid=SHlkZXJhYmFkIE1hc3NhZ2UgQ2VudHJlcyBGb3IgTWVu"
"Body Massage Centres						","Unisex Beauty Parlours						,","Haven","Plot No 3-14, 15 & 16, Kavuri Hills phase 2, Madhapur, Hyderabad - 500081, opp police station road","+(91)-40-60606633","","Madhapur","Hyderabad","500081","2013","Monday -Sunday ","http://www.justdial.com/Hyderabad/Haven-\&lt\;near\&gt\;-opp-police-station-road-Madhapur/040PXX40-XX40-130916142211-Z4F4_BZDET?xid=SHlkZXJhYmFkIE1hc3NhZ2UgQ2VudHJlcyBGb3IgTWVu"
"Massage Centres For Men						","Body Massage Centres						,","Royal Beauty Spa And Obesity Clinic","Door No 7-1-397/120, House No 4/A, Flat No 301, Police Station Road, Sanjeev Reddy Nagar, Ameerpet, ...","+(91)-40-42030354","","Ameerpet","Hyderabad","500016","2010","Monday -Sunday ","http://www.justdial.com/Hyderabad/Royal-Beauty-Spa-And-Obesity-Clinic-\&lt\;near\&gt\;-Opposite-Community-Hall-Ameerpet/040PXX40-XX40-150608162802-I4N5_BZDET?xid=SHlkZXJhYmFkIE1hc3NhZ2UgQ2VudHJlcyBGb3IgTWVu"
"Massage Centres For Men						","Body Massage Centres						,","Best Spa Clinic","121, rahamath complex, ameerpet chowrasta, Ameerpet, Hyderabad - 500016, beside airtel","+(91)-40-40204152","","Ameerpet","Hyderabad","500016","2014","Monday -Sunday ","http://www.justdial.com/Hyderabad/Best-Spa-Clinic-\&lt\;near\&gt\;-beside-airtel-Ameerpet/040PXX40-XX40-140710191944-H9P6_BZDET?xid=SHlkZXJhYmFkIE1hc3NhZ2UgQ2VudHJlcyBGb3IgTWVu"
